År,Myndighet,Anslagsnamn,Anslagspostsnamn,Utgiftsområdesnamn,Organisationsnummer,Total,,,Utfall januari,Utfall februari,Utfall mars,Utfall april,Utfall maj,Utfall juni,Utfall juli,Utfall augusti,Utfall september,Utfall oktober,Utfall november,Utfall december
2022,Kammarkollegiet,Allmänna val och demokrati,Insatser för mänskliga rättigheter,Rikets styrelse,2021000829,3,,,0,"4,8",0,"4,2",3,"0,5",0,0,0,0,0,0
2022,Länsstyrelsen i Jönköpings län,Allmänna val och demokrati,Allmänna val och dem - del till LJONK,Rikets styrelse,2021002288,0,,,0,0,0,0,0,0,0,0,0,0,0,"0,57125458"
2022,Kammarkollegiet,Allmänna val och demokrati,Säkerhetshöjande åtgärder,Rikets styrelse,2021000829,682668282,,,0,0,0,"355,724","2,887,831","23,294",0,"4,044,776","6,949,966","4,759,129","2,405,544","661,242,018"
2022,Kammarkollegiet,Allmänna val och demokrati,Hågkomstresor till Förintelsens minnesplatser,Rikets styrelse,2021000829,2,,,0,0,2,0,"0,5","3,2","0,3",0,0,0,0,0
2022,Justitiekanslern,Justitiekanslern,Justitiekanslern,Rikets styrelse,2021000035,5458093931,,,"467,440,484","469,156,803","467,750,367","481,172,305","480,542,891","511,980,473","515,473,521","490,315,811","504,232,176","47,434,977","511,644,955","510,949,168"
2022,Justitiekanslern,Justitiekanslern,Uppdrag att bevaka statens rätt i ingångna investeringsskyddsavtal,Rikets styrelse,2021000035,394606350,,,"0,08825269","0,18066593","0,11197369","0,7426945","15,077,843","162,249,677","114,636,111","0,4963977","0,59360525","0,21930381","0,16011674","102,642,719"
2022,Integritetsskyddsmyndigheten,Integritetsskyddsmyndigheten,Integritetsskyddsmyndigheten,Rikets styrelse,2021000050,13442860686,,,"895,725,523","1,003,159,073","1,269,545,655","1,264,231,313","1,190,169,837","1,140,198,392","1,243,143,554","1,038,550,178","1,021,422,248","1,129,743,588","1,079,652,043","1,167,319,282"
2022,Skatteverket,Valmyndigheten,Valmyndigheten - till Skatteverket,Rikets styrelse,2021005448,3323830006,,,"233,376,243","228,662,273","244,600,292","344,094,256","404,883,846","364,027,543","344,836,518","116,677,979","351,313,478","323,731,951","331,341,104","36,284,523"
2022,Riksdagsförvaltningen,Stöd till politiska partier,Stöd till politiska partier,Rikets styrelse,2021002627,544489268,,,"41,988,801",0,0,"41,988,801",0,0,"41,988,801",0,0,0,"418,522,865",0
2022,Institutet för mänskliga rättigheter,Institutet för mänskliga rättigheter,Institutet för mänskliga rättigheter,Rikets styrelse,2021007022,2446133476,,,"0,47873479","326,693,513","180,723,521","157,840,316","153,641,984","214,222,455","165,301","175,744,094","219,992,434","294,497,376","276,301,103","446,311,379"
